ASV	s.Ambulatory treatment	s.Hospitalized	index	stat	p.value	Domain	Phylum	Class	Order	Family	Genus	Species
8de267e7228dfc44549f0d7028da3004	1	0	1	0.6149470657258672	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	NA
9a422985130ce7c20cf3cc62f9d632a4	1	0	1	0.42121809661420984	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseomonas	NA
3f63cb97844f5677c45a2696b10b7514	1	0	1	0.20519567041703082	0.03	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Roseococcus	NA
0f4e7b44c7011e872f619f228ca9e2a2	1	0	1	0.5203918709512825	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Methylobacterium-Methylorubrum	NA
a4ad18403a128be008e218a4fdb8d86c	1	0	1	0.30779350562554625	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Ancylobacter	NA
3306530cff714eba29194d0160c11b36	1	0	1	0.7729683154710917	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	NA
6c5f6581512a6c07d396039b8fbcf2c3	1	0	1	0.435285750066007	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	NA
0d8000fb8c255e7cded7b66910a29658	1	0	1	0.5200968622806155	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	NA
51350e1acc9c32b061a25e462ba96c8a	1	0	1	0.24020832935693875	0.015	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	NA	NA
9de0ac1e60da245ce0fdd114affa7827	1	0	1	0.7178349830434108	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Phyllobacterium	NA
b60c949d6543bd9852f4571b25ff37af	1	0	1	0.6697723830532162	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	NA	NA
ff355979e431837f6a97ede6aeac3dc5	1	0	1	0.6790856140028281	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Ochrobactrum	NA
5ae4339a42f764e3cdab0fe6e571879c	1	0	1	0.478093040006777	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA
56bbc28ce18714a41e11a876e347d001	1	0	1	0.35957433369590985	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pseudochrobactrum	NA
720413e6c0de5d8856b252f052ea357a	1	0	1	0.6965396498534876	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	NA
6166be773f6b7dfde259fde979c43329	1	0	1	0.39735970711951313	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	NA
13fd45ea3a2f8e80b9a6eb4894117cd7	1	0	1	0.26452096181434676	0.01	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Qipengyuania	NA
22be9a2fefb749d9f8d412eddf09cb42	1	0	1	0.33396262973637625	0.005	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	NA
e9c03a0cee264f943955e1a938bf8748	0	1	2	0.789749094815209	0.005	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Atopobiaceae	g__Atopobium	NA
379622fdc2140f296234714bf0cee909	1	0	1	0.5116513165655104	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	NA
797f79d46563337e49d281473cb87330	1	0	1	0.35540932665545544	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Promicromonosporaceae	g__Cellulosimicrobium	NA
f2375ff0873427bc6b33787296adb456	1	0	1	0.3288082715324874	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Sanguibacteraceae	g__Sanguibacter	NA
ca93efba65827f76e9d350c1802b7191	1	0	1	0.39735970711951313	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Microbacteriaceae	g__Agromyces	NA
daca22c8e30448b1e73c28012ec1f9f9	0	1	2	0.8151528186870709	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	NA
1aed0d0c0984b7e8b5b1419796ee9ec2	0	1	2	0.3091531993061947	0.02	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	NA
71e4bc1c12cefdd74eb299b79d0f65a2	1	0	1	0.3050547577410655	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Kocuria	NA
918eb85a6086b840468b1f6429a9e02f	1	0	1	0.21919613736304727	0.04	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Dermabacteraceae	g__Brachybacterium	NA
9933d44ed7a3ad404547b539c075d67f	0	1	2	0.8467580340271385	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Rothia	NA
d569a6c0b0b255be614f3e7a0c2d9949	1	0	1	0.4276648703985743	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Micrococcaceae	g__Micrococcus	NA
470d395d303b7ee79c1a9055d57ed582	1	0	1	0.3171848342147949	0.015	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micrococcales	f__Brevibacteriaceae	g__Brevibacterium	NA
3d1e9e4aaa4ba7b37d629075da2b2261	1	0	1	0.9128617959018389	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Corynebacterium	NA
ff0102901315165764e4643d62b21c8a	1	0	1	0.7424339384119258	0.005	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Corynebacteriales	f__Corynebacteriaceae	g__Lawsonella	NA
65e76cec27ea011a1a037000bfee49d6	1	0	1	0.2846511674914217	0.005	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales-Selenomonadales	f__Veillonellaceae	g__Negativicoccus	NA
d3989dedc1a5cfd7a84b93d2f4839770	1	0	1	0.26164552354767034	0.01	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Deinococcaceae	g__Deinococcus	NA
7db234ecd033dcd365a28991cc516b4b	1	0	1	0.3737712817392015	0.025	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__[Eubacterium]_brachy_group	NA
a2ea6d04f644a640c2aa1424e68ab67b	1	0	1	0.22941573387056177	0.02	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcaceae	g__Peptoanaerobacter	NA
df977e6364811c4202b4ba0db94f536b	1	0	1	0.6616475624374313	0.005	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcales-Tissierellales	g__Finegoldia	NA
c203a2c5a68bd79b5eb344ae8f4ca06f	1	0	1	0.7589643462965026	0.005	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcales-Tissierellales	g__Anaerococcus	NA
5823f3d3e4570e7967ed07787ac94383	1	0	1	0.7431612038143298	0.005	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcales-Tissierellales	g__Peptoniphilus	NA
1572581d855f3da8a50bb3338df9a4d1	0	1	2	0.7153024225899668	0.005	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	NA
72a59afacf59d8f739c96cf7c36e9f8d	1	0	1	0.20519567041703082	0.03	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Listeriaceae	g__Brochothrix	NA
958d933fa3e25e0cd575e83d5edb16b7	1	0	1	0.5345582937791568	0.005	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	NA
ed8c4ee50df3189254543248b9572ace	1	0	1	0.22941573387056177	0.025	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Jeotgalicoccus	NA
8fb66785a4e6f4f56cfbede723d8aa15	1	0	1	0.535445866615848	0.005	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Dolosigranulum	NA
18b5e17fc3b9b203df192becde899161	0	1	2	0.37222937965474273	0.02	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia	NA
68f704877b346adb76fc04aad9ae005a	0	1	2	0.6423881073195561	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Tannerella	NA
cee61a946bf908a16eaafd54bb1de175	0	1	2	0.5520598467353893	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__F0058	NA
b07e725b012fd9f5357958fa143dc51e	1	0	1	0.3174248855601802	0.02	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Hymenobacteraceae	g__Hymenobacter	NA
a9bd46679737ebfeb5dc5c6e6fd667b8	1	0	1	0.3402785236893603	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	NA
bfb3fa2215778d69766ac1874d6595b3	0	1	2	0.7351884580722875	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Capnocytophaga	NA
b7f474c01965296464d4f831837a1754	1	0	1	0.36750062080921403	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Cloacibacterium	NA
fe7d4578e5a0bc790b62279fbfbdbc3e	1	0	1	0.47309276659768495	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Sphingobacterium	NA
529dcf8f88fadc8b3e2e640c23393313	1	0	1	0.7903468526223348	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Pedobacter	NA
e0bb56b4ae85bb51fc4f997134f27529	1	0	1	0.3824528847956899	0.005	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Asinibacterium	NA
